"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","280","can filter for completed tasks","example to-do app","Sun May 11 19:45:13 ICT 2025","passed","Sun May 11 19:45:13 ICT 2025","","with a checked task","",""
"","858","cy.request() - make an XHR request","","Sun May 11 19:46:16 ICT 2025","passed","Sun May 11 19:46:17 ICT 2025","","Network Requests","",""
"","262",".should() - make an assertion about the current subject","Assertions","Sun May 11 19:45:39 ICT 2025","passed","Sun May 11 19:45:39 ICT 2025","","Implicit Assertions","",""
"","406","cy.reload() - reload the page","","Sun May 11 19:46:13 ICT 2025","passed","Sun May 11 19:46:13 ICT 2025","","Navigation","",""
"","345","cy.getCookie() - get a browser cookie","","Sun May 11 19:45:50 ICT 2025","passed","Sun May 11 19:45:50 ICT 2025","","Cookies","",""
"","91","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","Sun May 11 19:46:09 ICT 2025","passed","Sun May 11 19:46:09 ICT 2025","","Cypress.Screenshot","",""
"","97","cy.title() - get the title","","Sun May 11 19:47:08 ICT 2025","passed","Sun May 11 19:47:08 ICT 2025","","Window","",""
"","109",".nextAll() - get all next sibling DOM elements","","Sun May 11 19:46:42 ICT 2025","passed","Sun May 11 19:46:43 ICT 2025","","Traversal","",""
"","105",".within() - query DOM elements within a specific element","","Sun May 11 19:46:25 ICT 2025","passed","Sun May 11 19:46:26 ICT 2025","","Querying","",""
"","109","cy.url() - get the current URL","","Sun May 11 19:46:04 ICT 2025","passed","Sun May 11 19:46:04 ICT 2025","","Location","",""
"","1104","Cypress.Promise - instantiate a bluebird promise","","Sun May 11 19:46:49 ICT 2025","passed","Sun May 11 19:46:50 ICT 2025","","Utilities","",""
"","427","cy.window() - get the global window object","","Sun May 11 19:47:07 ICT 2025","passed","Sun May 11 19:47:07 ICT 2025","","Window","",""
